"Mês","Turno","Turma","Material","VarConsumo_Quimica","VarConsumo_Eletrica","VarTempoProcesso"
"10",2,1,2,3.506712267247038,13.018721842556072,1.69375
"10",1,0,2,2.9457582876533546,11.484292229029435,1.6475
"10",2,1,2,3.4561524631427543,13.858747382448126,1.07125
"10",2,1,2,2.719513054621176,11.849506741668316,1.0875
"10",2,1,2,3.4532628597091235,12.729145964531527,2.19125
"10",2,1,2,3.2224686496009953,13.722848451226278,1.54125
"10",2,1,2,2.980887393881147,12.267857647624163,1.4125
"10",2,1,2,2.936114047733462,12.499646663086185,1.44125
"10",2,1,2,3.0968415557295748,12.402690128518127,1.31625
"10",2,1,2,3.0596589209135336,12.231680345420306,1.9975
"10",0,2,2,3.247533363322837,13.581275965176893,1.14625
"10",0,2,2,2.9237738266858884,12.804929756621535,1.15
"10",0,2,2,2.9699404447263626,13.121645740440165,1.16875
"10",1,3,2,2.861329489027711,12.030415241541116,1.28625
"10",1,3,2,3.4645523193096004,13.297163525604416,1.2125
"10",1,3,2,3.0427825632993994,12.103275139343129,1.80625
"10",1,3,2,2.870542715998204,13.033962678241574,1.185
"10",1,3,2,2.9881507582823783,11.153243554650588,1.95625
"10",2,1,2,3.094856678186624,13.040670628893965,1.3275
"10",2,1,2,2.863442965283216,12.278893546455388,0.97125
"10",1,3,2,3.029030290709494,13.00180572330579,1.32125
"10",2,1,2,2.8785527764668872,11.800793937206784,1.14375
"10",2,1,1,3.034729835552075,12.183886867197936,1.3375
"10",2,1,2,3.3361223571749883,14.265962795374561,1.05625
"10",2,1,2,2.8386352715040846,12.151963139893152,1.315
"10",2,1,2,2.9324904135143544,12.921180494168857,1.33375
"10",2,1,2,2.910519446619682,12.512091759178222,1.92875
"10",0,2,2,2.9001969115970567,12.87240981997525,1.0975
"10",0,2,2,3.3970861286169276,13.273860062423019,1.97125
"10",0,2,2,3.111798145008477,12.17594846854669,3.3525
"10",0,2,2,3.2948446880709996,12.512091759178222,2.7225
"10",0,2,2,3.4875543559754085,14.153502156598131,2.01875
"10",0,2,0,2.899234261706309,12.592229410568862,1.27875
"10",0,2,0,3.0422850172799354,13.133348480681153,1.15625
"10",0,2,0,2.859139301244564,12.21190230478156,1.09375
"10",0,2,0,3.325595565833425,13.421688463955123,0.995
"10",0,2,0,2.991651419665244,12.568312545591525,1.6025
"10",0,2,0,2.9604411380840516,11.674305587544337,1.19
"10",0,2,0,3.236823202547944,13.324683400499865,1.4
"10",1,3,0,3.41194597022144,13.646644272798767,1.7
"10",1,3,0,3.40754529089586,14.176991030814255,1.64125
"10",1,3,0,3.370151883567678,11.831246929472709,2.94375
"10",2,1,0,2.8372487601148526,12.163733935234236,1.60625
"10",2,1,0,2.8082524427358644,11.767532577663454,2.04375
"10",2,1,0,3.4412362808794916,13.952855671505471,1.535
"10",2,1,7,2.850645151542622,10.97175340084361,2.54
"10",2,1,0,2.9279856289080044,13.000432839733469,1.60375
"10",2,1,0,3.338599115720887,12.266879425551013,3.10875
"10",0,0,7,2.7308796851458963,11.592700912114685,3.05875
"10",0,0,7,2.754720996463556,11.829875129095859,1.325
"10",1,3,0,2.9522255192878335,11.083958806074358,2.4775
"10",1,3,0,3.4665372168284785,12.840281743765466,2.73375
"10",2,1,0,3.264193802107912,12.21441856591622,1.13375
"10",1,3,0,3.192702712623426,12.582832934957928,2.51875
"10",2,1,1,3.1345424396310504,13.244286210701505,1.18125
"10",2,1,1,2.902730907365996,12.858304533441757,1.54125
"10",2,1,1,3.032093347960507,12.677535360409248,2.9625
"10",2,1,1,2.582498042286609,12.100396149062602,1.075
"10",0,0,1,2.5747054962517706,12.271920893966458,1.07125
"10",0,0,1,2.9680450478460636,13.308297720580615,1.59125
