"Mês","Dia","Turma (to number)","Material (to number)","VarConsumo_Quimica","VarConsumo_Eletrica","VarTempoProcesso"
"11","18",0,0,3.3032933333333334,13.847058823529412,1.065
"11","18",0,1,2.9274,12.135294117647058,0.9725
"11","18",0,1,3.0967055616502117,12.885796584515925,0.8975
"11","18",1,1,3.2322935019172974,13.344875726225823,1.3275
"11","18",1,1,2.892230976363818,12.284478965616366,0.96375
"11","18",1,1,3.243057532018703,13.088504358848644,1.0475
"11","17",1,1,3.3310671226724704,12.835831814330044,0.9375
"11","17",1,1,3.4833333333333343,13.346998940531577,1.91
"11","17",2,1,3.4502954887494033,13.982005091432015,1.46
"11","17",2,1,3.364142394822007,13.93489434608795,1.4975
"11","17",2,1,3.4511752475596436,13.345522160656206,1.7162500000000003
"11","17",2,1,3.2591464918772246,13.407710055160662,1.7125
"11","17",2,1,2.8214566619474595,12.358770785331593,1.14125
"11","17",2,1,2.8371484719116355,12.759647465410234,1.6475
"11","17",2,1,3.333590838246257,12.962940817717614,1.725
"11","17",0,1,2.9916514496235775,12.211323741413914,1.75625
"11","17",0,1,2.934214271193332,12.903148655274267,1.4050000000000002
"11","17",0,1,3.2506005034160372,13.347928168030966,1.40625
"11","17",2,1,3.1953846685321454,13.524717587314747,1.275
"11","17",0,1,3.8484430061129085,13.592233009708735,1.52875
"11","17",0,1,3.009886639406935,12.838864477674987,2.3875
"11","17",1,2,3.338117503557634,12.592229410568862,1.41875
"11","17",1,2,3.3539556683229375,13.258459108349967,1.48375
"11","17",0,2,3.2672266792512192,12.544763068039865,1.5375
"11","17",1,2,3.097649679199496,12.451674596237218,0.9775
"11","16",1,2,3.1380339749343444,12.293278735649043,1.20875
"11","16",1,2,3.008957958910385,13.118536345714942,0.9912499999999999
"11","16",1,2,3.1891249524993954,13.012625508281872,1.355
"11","16",2,2,2.909127871518601,12.329143895818136,1.08375
"11","16",2,2,2.948077520986631,12.567593106265202,1.6100000000000003
"11","16",2,2,2.6699464660838927,12.4606866531935,1.075
"11","16",2,2,3.2303865685563276,12.555400437716802,2.07125
"11","16",2,2,3.185255812346703,13.829534301024793,1.9025
"11","16",0,2,3.2980794305247216,14.14463660503846,1.21625
"11","16",0,2,2.9679199494697652,12.542605553241543,1.1575
"11","16",1,2,3.5398633585041352,13.106796116504857,2.10625
"11","16",1,2,3.209251962197661,12.768182717584873,1.35875
"11","16",0,2,3.217659415870434,13.220047116224006,1.13625
"11","16",1,2,3.0502676695805384,13.085514750726475,1.665
"11","15",1,3,3.330672192532811,14.184624662385405,1.8337500000000002
"11","15",2,4,2.8802451862216,12.48662567165583,1.35
"11","15",2,4,2.921769105691056,12.96413199426112,1.665
"11","15",2,4,3.224052448268797,13.027706472878025,1.0325
"11","15",2,4,2.8273714402786316,12.967448811116332,1.14625
"11","15",2,5,3.129768630616089,12.596140150975643,1.8625
"11","15",3,5,3.544219374397134,13.058385818155287,2.91625
"11","15",3,6,2.8358673702038955,12.219935853958546,1.45625
"11","15",3,6,2.8817163228927933,11.784927874893274,1.39
"11","15",3,7,3.606833516136538,13.628125494888351,1.935
"11","15",1,10,3.399877723074942,13.330266946048619,1.89625
"11","14",1,12,3.1051273470905367,14.891243725599551,1.09625
"11","14",2,13,3.1948828164978,12.774898107846147,1.4249999999999998
"11","14",2,14,2.8660503234108847,12.81591575978151,1.4
"11","14",2,12,2.756709162615794,11.022330605176125,2.12875
"11","14",2,14,3.02382065088557,12.995201128302584,1.4625
"11","14",2,15,2.8965134176537513,12.420728178844314,1.38125
"11","14",2,15,3.12834103749358,13.14843348741654,1.51875
"11","14",3,15,2.9401860402864215,12.609681495565502,1.6375
"11","14",3,16,3.4591784875679497,12.169993926355644,2.05
"11","14",3,17,3.4744577980384026,13.46871114794861,1.9975
"11","14",3,12,3.0765460536839746,12.186446706525974,1.41625
"11","13",0,8,3.130625429553265,12.553062462098241,1.17125
"11","13",0,8,3.2115920257878763,12.299314618345694,2.0975
"11","13",3,8,3.0351202749140898,12.892662219526986,1.64375
"11","13",0,8,3.1485714285714295,12.75093370681606,1.665
"11","13",3,8,3.1129365079365083,12.5437675070028,1.5312499999999998
"11","13",3,8,3.011395793499044,11.910921156225397,1.71375
"11","13",3,8,3.0856596558317397,12.43954560791812,2.6475
"11","13",3,8,3.2324810996563578,13.37780473013948,1.5312499999999998
"11","13",3,8,3.472453608247423,13.441479684657368,1.57875
"11","13",3,8,3.5356084656084668,13.016456582633053,1.9537500000000003
"11","13",3,8,3.2988359788359793,12.640056022408963,1.7225
"11","12",3,2,2.741868963717046,12.474664885531347,1.29125
