"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"358",358,358,358,2,21,29,7,271729.932315923
"359",359,359,359,2,2,132,31,10120866.1039663
"360",360,360,360,2,24,68,16,3530259.13177915
"361",361,361,361,1,14,99,23,7492641.1805436
"362",362,362,362,1,12,18,5,301738.927945033
"363",363,363,363,1,18,97,23,7088429.33500201
"364",364,364,364,1,24,93,22,6598465.00094832
"365",365,365,365,1,18,76,18,3949819.23136484
"366",366,366,366,2,14,106,25,7770526.49488872
"367",367,367,367,2,20,3,1,1.64623041209012e-22
"368",368,368,368,1,23,53,13,2345563.62118692
"369",369,369,369,2,27,98,23,6248275.89589902
"370",370,370,370,2,25,52,12,1527359.39248876
"371",371,371,371,1,28,108,25,6546904.92656219
"372",372,372,372,2,16,112,26,8025334.16868412
"373",373,373,373,2,9,59,14,3003544.69895192
"374",374,374,374,2,25,148,34,12120026.0378908
"375",375,375,375,1,17,70,16,4696693.32019463
"376",376,376,376,2,16,19,5,6854.86117091668
"377",377,377,377,2,16,24,6,108425.892518017
"378",378,378,378,2,3,73,17,5017561.17454644
"379",379,379,379,1,24,142,33,10909042.2453834
"380",380,380,380,1,6,86,20,4214114.64019663
"381",381,381,381,1,13,24,6,559433.06978888
"382",382,382,382,1,12,111,26,8314445.14613127
"383",383,383,383,2,22,114,27,8004126.27976719
"384",384,384,384,1,8,133,31,10181855.7709675
"385",385,385,385,2,1,43,10,997832.703172182
"386",386,386,386,2,2,128,30,9453232.25146666
"387",387,387,387,2,1,10,3,12.377101125426
"388",388,388,388,2,17,3,1,2.76082384165629e-25
"389",389,389,389,1,1,39,9,1232555.83414766
"390",390,390,390,1,22,89,21,5588651.56591216
"391",391,391,391,2,11,149,34,12267394.0599705
"392",392,392,392,2,30,66,16,3145570.69312147
"393",393,393,393,2,28,81,19,5137035.0185398
"394",394,394,394,1,3,95,22,6180865.34035414
"395",395,395,395,2,7,57,14,3023187.97739283
"396",396,396,396,1,24,33,8,1060072.1452745
"397",397,397,397,2,27,62,15,3484564.85139519
"398",398,398,398,2,12,10,3,9.47773839441564
"399",399,399,399,2,10,4,1,3.70142861043002
"400",400,400,400,2,1,113,26,7624295.04852568
"401",401,401,401,1,18,6,2,357.815166220642
"402",402,402,402,2,27,7,2,2.54190044305246
"403",403,403,403,2,17,142,33,10751948.2777456
"404",404,404,404,1,24,57,14,3650860.65158458
"405",405,405,405,1,26,9,3,8708.04968729445
"406",406,406,406,1,7,123,29,9134413.72341199
"407",407,407,407,2,17,29,7,133139.56898791
"408",408,408,408,2,22,56,13,2368708.64021495
"409",409,409,409,1,20,48,11,2419292.33519578
"410",410,410,410,1,12,34,8,1372927.594028
"411",411,411,411,2,24,77,18,5163319.45529829
"412",412,412,412,2,8,10,3,10.9974819346691
"413",413,413,413,2,19,94,22,6154176.56494301
"414",414,414,414,2,1,39,9,609455.900534424
"415",415,415,415,2,16,109,25,7336224.17019728
"416",416,416,416,2,3,32,8,727332.047823766
"417",417,417,417,2,1,92,21,6167458.78621182
"418",418,418,418,2,24,145,34,9940238.73110845
"419",419,419,419,2,25,80,19,4482759.01123575
"420",420,420,420,1,15,33,8,1090515.40117785
"421",421,421,421,1,16,74,17,5006962.83442732
"422",422,422,422,2,17,81,19,4910500.50896608
"423",423,423,423,2,22,77,18,3939063.19936652
"424",424,424,424,2,17,133,31,10297122.7477457
"425",425,425,425,2,9,66,16,4214794.04753596
"426",426,426,426,2,15,39,9,575761.299387874
"427",427,427,427,2,1,13,3,463.775269108162
"428",428,428,428,1,11,29,7,785010.730327214
"429",429,429,429,2,2,82,19,5030666.84195652
"430",430,430,430,1,13,106,25,8250838.6226831
"431",431,431,431,1,18,29,7,722642.707270625
"432",432,432,432,2,3,24,6,157895.473167659
"433",433,433,433,2,19,62,15,3096557.97667282
"434",434,434,434,1,8,3,1,1.76554571433621
"435",435,435,435,2,28,137,32,11276175.3559732
"436",436,436,436,1,4,17,4,234199.094787518
"437",437,437,437,2,11,74,17,4009695.08590827
"438",438,438,438,1,25,106,25,7441200.64296577
"439",439,439,439,1,15,104,24,7562529.72449329
"440",440,440,440,1,9,98,23,4039930.30911854
"441",441,441,441,1,11,57,14,3164081.50032964
"442",442,442,442,2,10,51,12,2156884.04218351
"443",443,443,443,2,6,18,5,6848.50940821715
"444",444,444,444,2,21,75,18,3922093.38722227
"445",445,445,445,1,27,3,1,2.62434115224799
"446",446,446,446,2,20,5,2,5.39688026153279e-06
"447",447,447,447,2,1,41,10,519843.438640868
"448",448,448,448,2,9,54,13,3028347.63290645
"449",449,449,449,2,6,121,28,8655372.53336701
"450",450,450,450,2,5,11,3,26.4463418209784
"451",451,451,451,1,9,92,21,5460013.85167101
"452",452,452,452,1,30,133,31,9580583.27962137
"453",453,453,453,2,21,48,11,1456369.47461612
"454",454,454,454,2,16,79,19,4405675.23918144
"455",455,455,455,1,18,132,31,9635101.74977024
"456",456,456,456,2,3,136,32,11669170.9027763
"457",457,457,457,1,20,53,13,2155259.12787479
"458",458,458,458,2,5,50,12,2881779.24329596
"459",459,459,459,1,24,44,11,2087654.44450893
