"","algorithm","replicate","instance","group","result"
"527",2,5,16,4,7649.89638036958
"528",2,5,100,23,5877562.10348694
"529",1,29,143,33,11321458.3052044
"530",2,19,113,26,8070392.27116701
"531",2,15,36,9,423479.67502805
"532",2,1,76,18,4956240.5048778
"533",1,6,71,17,4677398.09004043
"534",2,15,148,34,12105456.484108
"535",1,15,52,12,2690046.69411856
"536",2,25,123,29,9564295.35141765
"537",1,19,20,5,412774.433471389
"538",2,12,32,8,123209.766599716
"539",2,30,29,7,488390.204131305
"540",2,3,43,10,908073.773086617
"541",2,2,134,31,9936086.0392943
"542",1,14,76,18,5452132.60953089
"543",2,19,132,31,10359002.8439143
"544",2,3,122,28,8697482.99470336
"545",1,17,138,32,9688562.23872952
"546",2,8,75,18,4593242.81802299
"547",1,4,81,19,4778603.5278487
"548",2,12,113,26,7285836.54076112
"549",1,17,121,28,9764606.5645423
"550",2,9,130,30,10179231.0617554
"551",1,15,67,16,3230053.44301903
"552",1,6,85,20,5149868.41695619
"553",2,4,101,24,6804407.40223454
"554",2,2,148,34,10493216.5524331
"555",1,5,10,3,26712.9508204041
"556",2,1,136,32,10572533.0968105
"557",2,8,22,6,93694.4963799697
"558",1,1,123,29,9669291.11712769
"559",2,5,91,21,5776212.14883024
"560",2,12,61,14,2401446.27552185
"561",1,1,145,34,10084022.3154212
"562",2,3,143,33,9936804.28109766
"563",2,20,47,11,1400568.30681228
"564",2,1,109,25,7292869.38162555
"565",2,10,79,19,5357620.28889666
"566",1,20,111,26,6787858.58062852
"567",1,10,39,9,1708715.42153965
"568",1,17,25,6,560103.372592815
"569",2,5,75,18,4792668.50696986
"570",1,22,51,12,2592145.80341881
"571",1,24,116,27,9184206.20783364
"572",1,1,29,7,785052.294389193
"573",1,23,11,3,38724.2874573414
"574",1,25,109,25,8049229.55358266
"575",1,12,9,3,16195.0164613908
"576",1,25,16,4,254913.657727393
"577",1,21,97,23,6979254.99497155
"578",1,16,23,6,540705.979545684
"579",1,23,27,7,719365.990885307
"580",2,8,61,14,3359973.18628697
"581",1,18,115,27,8634970.31019284
"582",2,5,12,3,57.0407664585936
"583",2,15,122,28,9278466.2038327
"584",1,5,19,5,303363.017148973
"585",2,21,85,20,6169528.61953544
"586",2,17,40,10,843482.874232419
"587",1,6,40,10,1823388.99452524
"588",1,14,80,19,5309014.17974304
"589",1,23,119,28,7763280.9669076
"590",1,16,89,21,6038485.20693979
"591",1,21,123,29,9917017.96616385
"592",2,4,40,10,827194.204840757
"593",2,25,31,8,275532.842661272
"594",2,24,22,6,5975.6808522202
"595",1,21,74,17,4890289.52376935
"596",2,3,134,31,9781657.73191756
"597",2,18,150,35,11747783.7712022
"598",1,5,60,14,3124220.71209429
"599",2,17,86,20,5834863.86268905
"600",1,3,13,3,95553.8865469161
"601",2,21,72,17,4368644.12841624
"602",2,21,33,8,318606.733675457
"603",2,30,105,24,7798988.62905109
"604",2,25,108,25,6237280.24835017
"605",2,22,108,25,7885286.62108024
"606",2,22,49,12,2967024.23664622
"607",2,27,145,34,11556176.1617944
"608",2,3,18,5,3364.20258994658
"609",1,2,20,5,369129.645978708
"610",1,15,40,10,1932176.81597578
"611",2,26,75,18,4926164.67979169
"612",1,10,9,3,13581.952372865
"613",1,19,106,25,8223986.41236268
"614",2,13,119,28,6846564.66206122
"615",1,9,121,28,8312606.26019514
"616",1,16,51,12,1906300.92317019
"617",2,11,52,12,3136021.51876106
"618",2,17,105,24,8214152.5548248
"619",1,28,114,27,9313882.05944786
"620",2,10,6,2,0.00369481566460642
"621",1,26,34,8,1050017.64163072
"622",1,2,142,33,10633421.0145965
"623",2,7,55,13,3033226.96655853
"624",2,26,13,3,1155.03449079458
"625",2,3,12,3,284.247048566903
"626",1,4,5,2,29.6060038436807
"627",2,17,13,3,363.549641926681
"628",1,8,73,17,4563284.93198145
"629",2,21,121,28,8337604.27831534
"630",2,23,29,7,251991.605660199
"631",2,25,94,22,6515147.12365885
"632",1,13,120,28,8687313.13067088
"633",1,2,124,29,9405589.4937026
"634",2,3,90,21,6447605.43545974
"635",2,10,110,26,7108849.04957089
"636",1,13,131,30,9020921.72068042
"637",2,15,70,16,4973230.75765067
"638",2,11,134,31,10493811.2569497
"639",2,13,62,15,3897150.40658433
"640",1,8,95,22,7022686.19552858
"641",2,8,2,1,0
"642",1,8,20,5,296333.054665092
"643",1,26,51,12,2765507.69248032
"644",1,14,50,12,1913054.36298902
"645",2,12,127,29,10101116.9978523
"646",2,16,2,1,0
"647",1,6,113,26,8564188.33582769
"648",1,25,4,1,4.84081780889419
"649",2,26,27,7,51812.0620589283
"650",1,27,53,13,3054439.47507856
"651",2,23,87,20,5653666.08663147
"652",1,27,43,10,2070705.56642753
"653",1,23,61,14,3693779.12220913
"654",1,16,70,16,4008034.21544363
"655",1,20,94,22,6337448.91491001
"656",1,22,101,24,7881763.0321337
"657",1,6,120,28,7476006.63445703
"658",2,6,129,30,8549388.80720454
"659",1,3,81,19,5145786.257897
"660",2,17,54,13,1403291.83666562
"661",1,15,110,26,7562925.33844509
"662",1,22,61,14,3112924.93898074
"663",2,28,124,29,8130819.38085277
"664",2,28,8,2,3.63324396649137
"665",1,19,61,14,3542637.45133748
"666",1,20,95,22,6864250.4151753
"667",1,8,91,21,5298953.63140905
"668",2,25,115,27,9169216.86533298
"669",1,24,144,33,10375998.2954179
"670",1,16,140,32,9819250.59226898
"671",1,19,46,11,2700898.43539761
"672",1,11,42,10,2233799.3274278
"673",1,9,132,31,10118407.7464831
"674",1,22,127,29,9535536.21202656
"675",2,19,136,32,9811791.48290388
"676",1,23,57,14,3229041.91309069
"677",1,2,15,4,155612.255761991
"678",1,27,124,29,9399548.24031829
"679",2,10,18,5,1849.246983122
"680",2,25,73,17,4224312.47393452
"681",2,19,87,20,5857282.02940606
"682",2,21,7,2,1.68785854268473
"683",2,4,71,17,4376984.85255438
"684",1,10,62,15,3405606.87593221
"685",2,21,77,18,5074461.63502226
"686",1,2,55,13,2772344.46409226
"687",1,13,13,3,128970.710377371
"688",2,2,94,22,6500948.17431221
"689",2,12,73,17,4319706.65342346
"690",2,20,69,16,3642079.07966826
"691",2,7,39,9,640025.994081742
"692",1,10,120,28,8787848.37408743
"693",1,30,19,5,165756.483445545
"694",1,20,125,29,9380751.23934519
"695",1,27,18,5,234039.390859772
"696",1,26,110,26,8034440.2540056
"697",1,5,108,25,7294358.73542621
"698",1,27,65,15,3508702.42471152
"699",2,29,106,25,6435948.42418627
"700",1,19,37,9,1411514.34523036
"701",2,22,30,7,147546.559404159
"702",1,15,82,19,5947878.90123998
"703",1,15,136,32,8822038.6215614
"704",1,9,69,16,3662281.83266678
"705",2,23,79,19,4031955.64025696
"706",2,2,93,22,5826582.83924797
"707",1,14,31,8,953911.200639052
"708",2,23,134,31,10026264.4783871
"709",2,15,17,4,2022.95773048588
"710",2,22,128,30,9883558.12252721
"711",2,28,68,16,4233301.44764684
"712",1,30,137,32,9561069.0520318
"713",2,2,20,5,39313.3192508076
"714",2,5,57,14,3410193.90976606
"715",2,8,70,16,4520747.79795392
"716",2,19,64,15,3998210.4745056
"717",2,4,30,7,460605.665024881
"718",1,18,22,6,478087.337689195
"719",1,25,120,28,9053626.71142593
"720",1,13,114,27,8185836.9288851
"721",2,5,89,21,6366736.5170327
"722",1,12,60,14,3112885.75305272
"723",2,12,62,15,2650626.14139984
"724",2,1,99,23,6761706.40611116
"725",1,15,95,22,6647493.1948335
"726",1,12,89,21,6561269.24608919
"727",2,18,145,34,11650618.421056
"728",2,7,8,2,6.65226731970098
"729",1,30,5,2,72.8184189698762
"730",2,19,18,5,4749.97554495492
"731",1,3,102,24,7621576.29372665
"732",2,16,44,11,1119612.25162839
"733",2,5,121,28,9337139.80181367
"734",2,13,102,24,7276448.90681863
"735",2,10,115,27,7587359.27880461
"736",1,27,90,21,5414106.2127406
"737",1,9,12,3,68562.8300888967
"738",1,23,21,5,332328.334373385
"739",1,26,22,6,472016.016084845
"740",2,21,103,24,7731614.79211933
"741",1,13,55,13,3438602.36585821
"742",1,5,42,10,1945516.32299301
"743",1,12,22,6,365312.250524518
"744",1,30,14,4,140154.496697269
"745",1,3,148,34,10196688.9262115
"746",2,14,38,9,476820.383813732
"747",2,9,105,24,6445940.67252373
"748",2,2,7,2,0.0127751466037025
"749",2,28,9,3,6.36570990093166
"750",1,8,96,22,5355315.89012804
"751",1,22,56,13,3488546.98604345
"752",2,30,137,32,7915714.93882506
"753",2,30,22,6,122470.277145402
"754",2,21,68,16,3470109.56598568
"755",2,21,37,9,798465.581554027
"756",2,2,6,2,0.0710511027813112
"757",2,18,108,25,7627371.09649988
"758",2,1,86,20,5923185.01376789
"759",2,6,13,3,381.813039763864
"760",1,12,103,24,7657575.0865401
"761",1,2,127,29,9919085.12547395
"762",1,27,125,29,9076204.53116598
"763",2,22,62,15,3647024.42640093
"764",2,2,30,7,562342.625894281
"765",2,15,76,18,4749571.37015029
"766",2,1,62,15,3758472.33863887
"767",1,27,137,32,9648353.2666661
"768",2,19,90,21,5629185.046057
"769",2,13,105,24,8012179.67891627
"770",1,18,40,10,1744873.90018562
"771",1,24,117,27,7942906.87755931
"772",2,1,32,8,123882.178424727
"773",1,30,113,26,7537699.1703219
"774",1,24,120,28,7434276.43616493
"775",2,4,90,21,5301591.23038636
"776",1,10,101,24,7193082.47495237
"777",1,14,113,26,8599716.8934309
"778",2,20,66,16,4578078.24698517
"779",2,4,48,11,1413954.07565118
"780",2,21,146,34,10055817.7763125
"781",2,19,144,33,11695355.9706449
"782",1,2,51,12,1410186.26385827
"783",1,21,131,30,8442799.28282728
"784",1,27,145,34,10151346.4688711
"785",1,15,39,9,1238089.24092891
"786",2,25,95,22,6937139.06905408
"787",2,5,134,31,7748404.73062482
"788",1,3,37,9,1535478.26696538
"789",2,16,140,32,11223997.7174142
"790",2,20,32,8,372859.718137611
"791",1,17,82,19,5206170.00820603
"792",2,17,144,33,11425123.7364721
"793",2,18,94,22,5913367.6160894
"794",2,22,26,6,311349.273904608
"795",1,13,150,35,11338613.9210467
"796",2,27,24,6,176963.415435107
"797",1,9,130,30,9838882.21044351
"798",2,23,24,6,120529.159373005
"799",1,27,42,10,2136106.6649661
"800",1,9,102,24,7213589.70077023
"801",2,9,5,2,3.3498002385421e-05
"802",2,23,97,23,7065073.08467531
"803",2,18,78,18,4510098.79065925
"804",1,23,9,3,5182.74731419182
"805",2,22,84,20,5583963.60198107
"806",1,6,55,13,3190200.66175352
"807",1,20,120,28,9278871.13135402
"808",2,8,54,13,1588347.0663598
"809",1,2,138,32,11050099.1380096
"810",2,18,84,20,5414079.60650111
"811",1,11,67,16,4333256.41520106
"812",1,8,107,25,7325304.96385589
"813",2,11,53,13,3121496.22654786
"814",2,27,73,17,4710396.15193626
"815",2,16,135,31,9320720.8429337
"816",1,26,49,12,2555161.33519641
