"","X.1","X","algorithm","replicate","instance","group","result"
"1427",1427,27,1,1,110,27,7737845.09888999
"1428",1428,28,1,1,114,28,8231270.75707045
"1429",1429,29,1,1,118,29,7995539.87677945
"1430",1430,30,1,1,122,30,8978464.86720728
"1431",1431,31,1,1,126,31,9724095.95847506
"1432",1432,32,1,1,130,32,9836370.55518086
"1433",1433,33,1,1,134,33,9416806.15588281
"1434",1434,34,1,1,138,34,10014802.7461898
"1435",1435,35,1,1,142,35,11512753.388968
"1436",1436,1,2,1,6,1,0.00449949893247492
"1437",1437,2,2,1,10,2,15.6363459274722
"1438",1438,3,2,1,14,3,31.5205434515789
"1439",1439,4,2,1,18,4,1005.16568346811
"1440",1440,5,2,1,22,5,38335.3881486563
"1441",1441,6,2,1,26,6,125220.501289056
"1442",1442,7,2,1,30,7,386893.113495413
"1443",1443,8,2,1,34,8,438510.082461993
"1444",1444,9,2,1,38,9,764532.158173155
"1445",1445,10,2,1,42,10,873153.070143325
"1446",1446,11,2,1,46,11,1297023.48117578
"1447",1447,12,2,1,50,12,1653474.56565985
"1448",1448,13,2,1,54,13,2701537.9939176
"1449",1449,14,2,1,58,14,3203945.19306798
"1450",1450,15,2,1,62,15,3641634.37415909
"1451",1451,16,2,1,66,16,3438384.52159384
"1452",1452,17,2,1,70,17,2899864.387663
"1453",1453,18,2,1,74,18,4921606.36678987
"1454",1454,19,2,1,78,19,5500057.08334616
"1455",1455,20,2,1,82,20,5156733.22913818
"1456",1456,21,2,1,86,21,4737818.37220813
"1457",1457,22,2,1,90,22,5494655.41660507
"1458",1458,23,2,1,94,23,6015248.77105564
"1459",1459,24,2,1,98,24,6856184.93009742
"1460",1460,25,2,1,102,25,6913836.25885176
"1461",1461,26,2,1,106,26,7460666.83984543
"1462",1462,27,2,1,110,27,8127065.20162194
"1463",1463,28,2,1,114,28,7566844.00512318
"1464",1464,29,2,1,118,29,7861777.82380433
"1465",1465,30,2,1,122,30,8682036.13826224
"1466",1466,31,2,1,126,31,8645625.19515072
"1467",1467,32,2,1,130,32,10008290.0859425
"1468",1468,33,2,1,134,33,9947531.70838629
"1469",1469,34,2,1,138,34,10495402.0452008
"1470",1470,35,2,1,142,35,10321681.2883056
"1471",1471,1,1,1,6,1,246.269027992827
"1472",1472,2,1,1,10,2,13199.2626808271
"1473",1473,3,1,1,14,3,157085.866492743
"1474",1474,4,1,1,18,4,268637.298585919
"1475",1475,5,1,1,22,5,445947.622259422
"1476",1476,6,1,1,26,6,619008.655603382
"1477",1477,7,1,1,30,7,780342.552356524
"1478",1478,8,1,1,34,8,1423435.55368581
"1479",1479,9,1,1,38,9,1663663.65880291
"1480",1480,10,1,1,42,10,2066726.38664004
"1481",1481,11,1,1,46,11,1903610.94293928
"1482",1482,12,1,1,50,12,3185451.10642173
"1483",1483,13,1,1,54,13,2409992.74913317
"1484",1484,14,1,1,58,14,2592062.32550596
"1485",1485,15,1,1,62,15,3762124.2298088
"1486",1486,16,1,1,66,16,3536559.55163246
"1487",1487,17,1,1,70,17,4826403.3422883
"1488",1488,18,1,1,74,18,4579471.01336536
"1489",1489,19,1,1,78,19,3876279.80232249
"1490",1490,20,1,1,82,20,5025659.38651918
"1491",1491,21,1,1,86,21,4961358.73846725
"1492",1492,22,1,1,90,22,5277544.08436201
"1493",1493,23,1,1,94,23,6347009.52588313
"1494",1494,24,1,1,98,24,7152776.7660328
"1495",1495,25,1,1,102,25,7183288.28840908
"1496",1496,26,1,1,106,26,6852567.98346588
"1497",1497,27,1,1,110,27,8198909.06387108
