"Algorithm" "Instance" "Observation"
"133" "algo1" "Inst.102" 11352.531513044
"134" "algo1" "Inst.102" 13301.3621624911
"135" "algo1" "Inst.102" 10979.8444461596
"136" "algo1" "Inst.102" 16447.8804280446
"137" "algo1" "Inst.102" 24618.3693947025
"138" "algo1" "Inst.102" 16546.3045963529
"139" "algo1" "Inst.102" 3995.5751308745
"140" "algo1" "Inst.102" 17244.0600006367
"141" "algo1" "Inst.102" 8355.3350240051
"142" "algo1" "Inst.102" 10275.6333372568
"143" "algo1" "Inst.102" 28430.8682766769
"144" "algo1" "Inst.102" 37662.629166827
"145" "algo1" "Inst.102" 26564.4058056022
"146" "algo1" "Inst.102" 27751.3908927202
"147" "algo1" "Inst.102" 40662.7540419621
"148" "algo1" "Inst.102" 29524.1780016542
"149" "algo1" "Inst.102" 27590.2532359265
"150" "algo1" "Inst.102" 40968.0987833627
"151" "algo1" "Inst.102" 19061.2793080609
"152" "algo1" "Inst.102" 28847.383426257
"153" "algo1" "Inst.102" 29212.3719850707
"154" "algo1" "Inst.102" 10180.485635554
"155" "algo1" "Inst.102" 38252.390564679
"156" "algo1" "Inst.102" 27287.1841718882
"157" "algo1" "Inst.102" 26347.6748792467
"158" "algo1" "Inst.102" 12884.2198254353
"159" "algo1" "Inst.102" 34894.6099951292
"160" "algo1" "Inst.102" 11560.8932213022
"161" "algo2" "Inst.102" 60.5665946278151
"162" "algo2" "Inst.102" 13.5828508190655
"163" "algo2" "Inst.102" 8.94232044264975
"164" "algo2" "Inst.102" 14.6864820747619
"165" "algo2" "Inst.102" 11.7600059477684
"166" "algo2" "Inst.102" 15.1248473697008
"167" "algo2" "Inst.102" 13.4480610981488
"168" "algo2" "Inst.102" 13.6257011662271
"169" "algo2" "Inst.102" 23.2425057858007
"170" "algo2" "Inst.102" 99.3143776150821
"171" "algo2" "Inst.102" 10.2318058407389
"172" "algo2" "Inst.102" 34.7009274326615
"173" "algo2" "Inst.102" 8.85067186279492
"174" "algo2" "Inst.102" 38.9132000247082
"175" "algo2" "Inst.102" 9.08970200192921
"176" "algo2" "Inst.102" 8.51249372730343
"177" "algo2" "Inst.102" 8.80777730008683
"178" "algo2" "Inst.102" 6.9162304229702
"179" "algo2" "Inst.102" 74.39969957116
"180" "algo2" "Inst.102" 14.7434004463564
