"","X","algorithm","replicate","instance","group","result"
"133",133,1,2,91,21,5963261.25567594
"134",134,1,2,65,15,4303604.43862099
"135",135,1,10,14,4,103302.404494049
"136",136,1,1,101,24,6551010.57649113
"137",137,2,30,89,21,5805668.97935497
"138",138,2,29,51,12,2863981.55917022
"139",139,2,29,19,5,14484.4177977271
"140",140,2,16,118,27,8835635.7015671
"141",141,1,4,18,5,141528.89836666
"142",142,2,19,111,26,7699218.52644189
"143",143,2,26,105,24,7535972.32839067
"144",144,2,16,27,7,189267.319520459
"145",145,2,3,116,27,9245104.10636897
"146",146,2,28,114,27,8957031.10572158
"147",147,2,9,142,33,10952417.9820522
"148",148,2,9,100,23,7013845.01134604
"149",149,1,22,119,28,8353803.91014612
"150",150,2,27,147,34,12023794.9896671
"151",151,2,14,129,30,10029815.1985029
"152",152,2,9,49,12,2229595.52221519
"153",153,2,11,62,15,3999350.01136532
"154",154,1,24,52,12,2672692.25376651
"155",155,2,25,69,16,3800129.48652018
"156",156,1,6,4,1,8.0477815372921
"157",157,1,20,106,25,7933063.91839105
"158",158,2,5,41,10,1981968.86664971
"159",159,2,10,46,11,832943.501308509
"160",160,1,16,49,12,2751705.64673927
"161",161,1,6,83,19,5442641.93117831
"162",162,2,25,18,5,20768.1076137062
"163",163,1,3,108,25,6637297.43133014
"164",164,1,19,87,20,5561322.8996368
"165",165,2,1,22,6,148518.054166748
"166",166,1,12,53,13,2402162.11281916
"167",167,2,10,144,33,9919612.55746883
"168",168,1,28,59,14,3113608.58571454
"169",169,2,4,46,11,2080902.43214043
"170",170,1,15,122,28,9748592.59791121
"171",171,2,29,85,20,5787406.27842289
"172",172,1,9,72,17,4212755.38117089
"173",173,1,17,80,19,5182550.68590713
"174",174,2,4,99,23,5862067.70122684
"175",175,2,6,54,13,2639713.19352556
"176",176,1,25,98,23,5629911.76475125
"177",177,1,29,85,20,6089833.84961912
"178",178,2,14,39,9,798201.682855578
"179",179,1,16,76,18,3986947.19374316
"180",180,2,12,112,26,6631525.2370239
"181",181,1,21,22,6,288022.42028389
"182",182,1,4,88,21,5007976.58293512
"183",183,2,22,22,6,38423.7481690593
"184",184,1,17,46,11,2105168.08331552
"185",185,1,3,65,15,3400579.87384719
"186",186,2,29,100,23,6772465.06962342
"187",187,1,16,94,22,6080056.05726013
"188",188,2,5,24,6,100872.589972558
"189",189,2,3,36,9,720687.061002763
"190",190,1,7,27,7,766916.415532623
"191",191,1,28,144,33,11307609.0115338
"192",192,1,1,17,4,323452.598454857
"193",193,2,1,97,23,6342379.08605304
"194",194,1,30,32,8,1047808.56226851
"195",195,2,4,114,27,8373523.16900502
"196",196,1,13,85,20,5812011.84394461
"197",197,1,20,116,27,6976894.26957583
"198",198,2,30,104,24,7856735.3218911
"199",199,1,6,49,12,3079819.97455065
"200",200,2,8,95,22,6693877.47669968
"201",201,2,17,49,12,1286398.47410415
"202",202,1,26,4,1,7.98659125534568
"203",203,2,19,74,17,4345086.10483492
"204",204,1,8,5,2,33.8580064695784
"205",205,2,11,43,10,670062.242068778
"206",206,1,24,18,5,387052.21875449
"207",207,1,25,133,31,10209232.1191558
"208",208,2,12,8,2,4.18287369772856
"209",209,2,23,62,15,3235067.36433807
"210",210,2,11,95,22,6061755.37595475
"211",211,2,7,118,27,7890114.17121908
"212",212,1,7,38,9,1732237.78111991
"213",213,2,26,80,19,5375565.45753623
"214",214,2,4,52,12,3043681.56854191
"215",215,2,9,85,20,5721724.46629922
"216",216,1,19,114,27,7950762.12614753
"217",217,1,17,18,5,295282.379400526
"218",218,1,2,60,14,4220025.0826068
"219",219,1,25,5,2,42.9787605650095
"220",220,1,2,126,29,9295093.26704371
"221",221,1,26,18,5,277966.466058973
"222",222,1,26,15,4,142037.758531912
"223",223,2,12,88,21,6325310.55634181
"224",224,2,24,39,9,609763.029806862
"225",225,2,5,137,32,10683612.2883235
"226",226,1,15,10,3,34603.2317440921
"227",227,1,12,7,2,1200.23643778096
"228",228,2,25,12,3,175.474347464289
"229",229,2,4,65,15,4033684.5628151
"230",230,1,19,115,27,8171863.57054892
"231",231,1,26,52,12,2644391.21010577
"232",232,1,22,24,6,550572.58493382
"233",233,2,11,117,27,7931171.33006683
"234",234,2,25,65,15,3976245.92838532
"235",235,1,18,86,20,5698023.16556447
"236",236,1,8,100,23,6878134.9779554
"237",237,1,2,107,25,7961703.33259619
"238",238,2,13,130,30,8769699.16757966
"239",239,1,29,105,24,6902145.47902285
"240",240,2,22,71,17,4754523.23743561
"241",241,2,18,110,26,7025380.44778322
"242",242,2,24,149,34,11844524.1610188
"243",243,2,28,85,20,5574903.72896273
"244",244,2,28,54,13,1710097.31331177
"245",245,1,1,133,31,8218168.57787076
"246",246,2,23,86,20,4780929.89152725
"247",247,1,25,131,30,10822900.4165972
"248",248,2,2,49,12,1234573.55462897
"249",249,1,21,46,11,2239442.3181389
"250",250,1,30,11,3,68743.8916880892
"251",251,2,27,122,28,7536359.70655311
"252",252,2,5,33,8,283841.07717421
"253",253,2,16,95,22,5586101.22819639
"254",254,2,16,91,21,5680795.12834427
"255",255,2,2,120,28,8476751.97277852
"256",256,1,22,95,22,5586684.11288831
"257",257,1,26,133,31,10913131.6468976
"258",258,1,21,135,31,9163205.4470334
"259",259,2,9,57,14,1595937.19503993
"260",260,2,5,67,16,3899306.00209923
"261",261,1,3,69,16,4148736.55251299
"262",262,1,21,103,24,7284609.18786635
"263",263,2,8,57,14,3244557.62265419
"264",264,1,23,55,13,2775671.5383067
"265",265,2,20,89,21,6555897.04008469
"266",266,2,11,45,11,962837.413471715
"267",267,1,12,125,29,9677489.99206827
"268",268,2,24,74,17,3907065.77083968
"269",269,1,27,101,24,6528048.12249248
"270",270,1,29,19,5,416451.316912286
"271",271,2,18,50,12,1338255.99988843
"272",272,2,4,108,25,7859480.13388851
"273",273,1,10,92,21,5741544.29222631
"274",274,2,19,148,34,11414247.410114
"275",275,1,3,135,31,10153115.7884011
"276",276,2,29,45,11,1679002.03363985
"277",277,1,1,125,29,8247617.01151809
"278",278,2,5,60,14,2630448.17444359
"279",279,1,26,124,29,7924561.39221871
"280",280,1,24,60,14,3709947.12834728
"281",281,1,23,4,1,10.4173402463464
"282",282,1,1,78,18,4364419.28088099
"283",283,2,9,101,24,6206959.50250903
"284",284,2,4,96,22,6351401.89967707
"285",285,1,14,81,19,5003903.60691461
"286",286,1,10,2,1,0.308678110864607
"287",287,2,2,147,34,10930082.0769232
"288",288,2,6,25,6,104386.388870928
"289",289,1,18,35,8,1618944.36779446
"290",290,1,28,10,3,24440.6524770939
"291",291,1,22,48,11,2182744.34340764
"292",292,2,29,67,16,3741724.63778309
"293",293,1,2,78,18,4481546.02567423
"294",294,1,9,47,11,2447986.51590835
"295",295,2,28,58,14,3588389.73455581
"296",296,1,16,117,27,8664222.24018277
"297",297,1,2,81,19,5129930.93976056
"298",298,1,1,56,13,2847357.41382614
"299",299,1,23,81,19,5384689.27225525
"300",300,1,19,76,18,4556342.13603017
"301",301,2,27,74,17,4804612.72318744
"302",302,2,27,105,24,8114518.39843518
"303",303,1,28,16,4,96465.3449064174
"304",304,1,18,117,27,8709906.84169057
"305",305,2,25,16,4,9087.32447474072
"306",306,2,29,48,11,1276962.73160457
"307",307,2,3,129,30,8623416.68839378
"308",308,1,29,89,21,5874579.89695418
"309",309,2,15,117,27,9107097.30359296
"310",310,1,24,63,15,3854011.11407402
"311",311,1,19,149,34,11583061.7534921
"312",312,2,3,38,9,515775.887577846
"313",313,1,19,50,12,3118455.14143372
"314",314,2,24,46,11,1277337.29592312
"315",315,1,5,5,2,110.791433803627
"316",316,1,21,71,17,3314609.45812247
"317",317,1,20,89,21,5784826.94655632
"318",318,2,27,71,17,4493416.00459648
"319",319,2,5,93,22,5836678.06983281
"320",320,2,5,139,32,9575004.95336133
"321",321,2,25,104,24,7645347.43450507
"322",322,1,10,85,20,5302055.38321553
"323",323,2,10,63,15,4382155.33437467
"324",324,2,18,16,4,67147.8811635052
"325",325,1,22,107,25,7528780.44790516
"326",326,2,23,45,11,847851.561088137
"327",327,1,23,138,32,10691891.6291374
"328",328,2,13,79,19,5346918.08391957
"329",329,1,4,121,28,9080265.9239352
"330",330,2,18,92,21,6217310.19893527
"331",331,1,22,13,3,106026.345187107
"332",332,2,2,34,8,299354.982418197
"333",333,1,23,127,29,9925431.82805232
"334",334,2,20,80,19,5836604.32675866
"335",335,2,11,144,33,10424293.2870568
"336",336,2,6,148,34,11529345.6065815
"337",337,2,26,115,27,7988875.81700441
"338",338,2,16,143,33,10289791.0425725
"339",339,1,13,145,34,11718944.316123
"340",340,1,19,144,33,11183593.378127
"341",341,2,4,118,27,8913923.87056244
"342",342,1,24,76,18,4597452.6993722
"343",343,2,6,35,8,365858.810483204
"344",344,2,11,125,29,9211512.2381383
"345",345,1,1,79,19,5271779.67953364
"346",346,1,11,92,21,5986146.80427325
"347",347,1,25,57,14,2945072.48504803
"348",348,1,17,67,16,3909846.70100227
"349",349,2,19,139,32,10710621.6544108
"350",350,1,14,78,18,4695674.68947656
"351",351,2,30,2,1,0
"352",352,1,6,93,22,6193085.50600551
"353",353,2,22,74,17,4216551.27456022
"354",354,2,25,127,29,9425829.02046191
"355",355,1,26,103,24,7374566.81735006
"356",356,1,18,135,31,10643358.8305734
"357",357,2,29,148,34,12429463.4935376
"358",358,2,24,150,35,11893238.9946891
"359",359,2,12,125,29,9731449.76810201
"360",360,2,21,12,3,10.2825444346089
"361",361,2,17,146,34,11701887.1437231
"362",362,1,29,141,33,10897134.5311455
"363",363,1,5,12,3,79273.8668012419
"364",364,1,9,114,27,8387757.4351881
"365",365,1,16,148,34,10205517.2407231
"366",366,2,24,73,17,4533915.58842458
"367",367,1,19,17,4,226099.969326677
"368",368,1,9,88,21,6337455.90497444
"369",369,1,9,140,32,11537253.210136
"370",370,1,21,80,19,4799089.90381599
"371",371,1,7,104,24,8037516.95563605
"372",372,2,6,43,10,619598.50467743
"373",373,2,6,29,7,119541.247189063
"374",374,1,15,120,28,9722989.3173288
"375",375,2,17,24,6,158278.576884488
"376",376,1,20,112,26,7994137.43606959
"377",377,1,11,52,12,2889582.00523503
"378",378,1,10,23,6,545528.200967251
"379",379,2,23,4,1,3.55868597315942e-14
"380",380,1,11,147,34,11129201.7834291
"381",381,2,27,96,22,6322512.61807357
"382",382,2,6,70,16,4171347.26808459
"383",383,2,8,51,12,905993.255842027
"384",384,1,15,25,6,596020.199750747
"385",385,2,18,83,19,5841595.58964564
"386",386,2,27,17,4,6482.57636257808
