"","X","algorithm","replicate","instance","group","result"
"1",1,1,1,6,1,301.554125151353
"2",2,1,1,10,2,30144.7816325833
"3",3,1,1,14,3,178007.21652793
"4",4,1,1,18,4,251620.20168002
"5",5,1,1,22,5,445931.650277925
"6",6,1,1,26,6,582995.327861162
"7",7,1,1,30,7,940944.081189215
"8",8,1,1,34,8,1062964.88423419
"9",9,1,1,38,9,1593325.21307894
"10",10,1,1,42,10,1340329.64198137
"11",11,1,1,46,11,2043746.31065139
"12",12,1,1,50,12,2382684.50321106
"13",13,1,1,54,13,3411274.52088313
"14",14,1,1,58,14,3611091.77616011
"15",15,1,1,62,15,3741805.30115988
"16",16,1,1,66,16,4026159.35108125
"17",17,1,1,70,17,4526444.55145502
"18",18,1,1,74,18,4441808.1599282
"19",19,1,1,78,19,5408597.62635729
"20",20,1,1,82,20,5861896.34489079
"21",21,1,1,86,21,6060149.13753066
"22",22,1,1,90,22,5266499.07963353
"23",23,1,1,94,23,5455980.57698003
"24",24,1,1,98,24,7002174.97483497
"25",25,1,1,102,25,6445197.1762423
"26",26,1,1,106,26,7771767.9111434
"27",27,1,1,110,27,8228101.08242224
"28",28,1,1,114,28,7150749.94426345
"29",29,1,1,118,29,8476813.78537767
"30",30,1,1,122,30,10066819.581812
"31",31,1,1,126,31,8981166.78225627
"32",32,1,1,130,32,8276160.15533924
"33",33,1,1,134,33,9755655.18227591
"34",34,1,1,138,34,12007636.4863683
"35",35,1,1,142,35,9467963.67548037
"36",1,2,1,6,1,8.06877581811089e-06
"37",2,2,1,10,2,17.8713453966739
"38",3,2,1,14,3,1393.67428277735
"39",4,2,1,18,4,7616.46597713781
"40",5,2,1,22,5,64771.3551724171
"41",6,2,1,26,6,264035.216982035
"42",7,2,1,30,7,530868.442206815
"43",8,2,1,34,8,711553.631852819
"44",9,2,1,38,9,923843.501381334
"45",10,2,1,42,10,694405.458030057
"46",11,2,1,46,11,818336.620744101
"47",12,2,1,50,12,1425780.14542632
"48",13,2,1,54,13,2470055.50492407
"49",14,2,1,58,14,3344481.97234884
"50",15,2,1,62,15,3616908.59656494
"51",16,2,1,66,16,3771606.71277498
"52",17,2,1,70,17,4286713.07294022
"53",18,2,1,74,18,3765525.18277788
"54",19,2,1,78,19,4758146.9964696
"55",20,2,1,82,20,5085420.5712373
"56",21,2,1,86,21,5554422.87861633
"57",22,2,1,90,22,5747409.67929255
"58",23,2,1,94,23,6146767.28352076
"59",24,2,1,98,24,7598286.53367405
"60",25,2,1,102,25,7684199.12490662
"61",26,2,1,106,26,6982310.89043579
"62",27,2,1,110,27,7846863.70958389
"63",28,2,1,114,28,8119730.99199036
"64",29,2,1,118,29,9073277.79163127
"65",30,2,1,122,30,9060751.59814443
"66",31,2,1,126,31,9204412.17676371
"67",32,2,1,130,32,8468820.50415651
"68",33,2,1,134,33,10168004.4081679
"69",34,2,1,138,34,8990924.96832456
"70",35,2,1,142,35,10106300.3443552
